IB_ID,IB_DATE,IB_TIME,IB_PLATE,IB_TEMPERATURE
351,2007-11-01,00:05:00,ub,29.5
352,2007-11-01,01:05:00,ub,29
353,2007-11-01,02:05:00,ub,29
354,2007-11-01,03:05:00,ub,28.5
355,2007-11-01,04:05:00,ub,28
356,2007-11-01,05:05:00,ub,27.5
357,2007-11-01,06:05:00,ub,27.5
358,2007-11-01,07:05:00,ub,28
359,2007-11-01,08:05:00,ub,28.5
360,2007-11-01,09:05:00,ub,30
361,2007-11-01,10:05:00,ub,30.5
362,2007-11-01,11:05:00,ub,31
363,2007-11-01,12:05:00,ub,31.5
364,2007-11-01,13:05:00,ub,32
365,2007-11-01,14:05:00,ub,32
366,2007-11-01,15:05:00,ub,32
367,2007-11-01,16:05:00,ub,32
368,2007-11-01,17:05:00,ub,31.5
369,2007-11-01,18:05:00,ub,31
370,2007-11-01,19:05:00,ub,30.5
371,2007-11-01,20:05:00,ub,30.5
372,2007-11-01,21:05:00,ub,30
373,2007-11-01,22:05:00,ub,29.5
374,2007-11-01,23:05:00,ub,29.5
375,2007-11-02,00:05:00,ub,29
376,2007-11-02,01:05:00,ub,29
377,2007-11-02,02:05:00,ub,28.5
378,2007-11-02,03:05:00,ub,28.5
379,2007-11-02,04:05:00,ub,28
380,2007-11-02,05:05:00,ub,27.5
381,2007-11-02,06:05:00,ub,27.5
382,2007-11-02,07:05:00,ub,28
383,2007-11-02,08:05:00,ub,28.5
384,2007-11-02,09:05:00,ub,29.5
385,2007-11-02,10:05:00,ub,30.5
386,2007-11-02,11:05:00,ub,31
387,2007-11-02,12:05:00,ub,31.5
388,2007-11-02,13:05:00,ub,32
389,2007-11-02,14:05:00,ub,32
390,2007-11-02,15:05:00,ub,32
391,2007-11-02,16:05:00,ub,32
392,2007-11-02,17:05:00,ub,31.5
393,2007-11-02,18:05:00,ub,31.5
394,2007-11-02,19:05:00,ub,31
395,2007-11-02,20:05:00,ub,30.5
396,2007-11-02,21:05:00,ub,30
397,2007-11-02,22:05:00,ub,30
398,2007-11-02,23:05:00,ub,29.5
399,2007-11-03,00:05:00,ub,29.5
400,2007-11-03,01:05:00,ub,29
401,2007-11-03,02:05:00,ub,28.5
402,2007-11-03,03:05:00,ub,28.5
403,2007-11-03,04:05:00,ub,28
404,2007-11-03,05:05:00,ub,27.5
405,2007-11-03,06:05:00,ub,27.5
406,2007-11-03,07:05:00,ub,27.5
407,2007-11-03,08:05:00,ub,28.5
408,2007-11-03,09:05:00,ub,29.5
409,2007-11-03,10:05:00,ub,30
410,2007-11-03,11:05:00,ub,30.5
411,2007-11-03,12:05:00,ub,31
412,2007-11-03,13:05:00,ub,31.5
413,2007-11-03,14:05:00,ub,31.5
414,2007-11-03,15:05:00,ub,31.5
415,2007-11-03,16:05:00,ub,31.5
416,2007-11-03,17:05:00,ub,31
417,2007-11-03,18:05:00,ub,30.5
418,2007-11-03,19:05:00,ub,30
419,2007-11-03,20:05:00,ub,30
420,2007-11-03,21:05:00,ub,29.5
421,2007-11-03,22:05:00,ub,29
422,2007-11-03,23:05:00,ub,29
423,2007-11-04,00:05:00,ub,28.5
424,2007-11-04,01:05:00,ub,28.5
425,2007-11-04,02:05:00,ub,28
426,2007-11-04,03:05:00,ub,27.5
427,2007-11-04,04:05:00,ub,27.5
428,2007-11-04,05:05:00,ub,27.5
429,2007-11-04,06:05:00,ub,27
430,2007-11-04,07:05:00,ub,27.5
431,2007-11-04,08:05:00,ub,28
432,2007-11-04,09:05:00,ub,29.5
433,2007-11-04,10:05:00,ub,30
434,2007-11-04,11:05:00,ub,31
435,2007-11-04,12:05:00,ub,31.5
436,2007-11-04,13:05:00,ub,32
437,2007-11-04,14:05:00,ub,32
438,2007-11-04,15:05:00,ub,32
439,2007-11-04,16:05:00,ub,32
440,2007-11-04,17:05:00,ub,31.5
441,2007-11-04,18:05:00,ub,31
442,2007-11-04,19:05:00,ub,30.5
443,2007-11-04,20:05:00,ub,30
444,2007-11-04,21:05:00,ub,29.5
445,2007-11-04,22:05:00,ub,29
446,2007-11-04,23:05:00,ub,29
447,2007-11-05,00:05:00,ub,28.5
448,2007-11-05,01:05:00,ub,28
449,2007-11-05,02:05:00,ub,28
450,2007-11-05,03:05:00,ub,27.5
451,2007-11-05,04:05:00,ub,27.5
452,2007-11-05,05:05:00,ub,27
453,2007-11-05,06:05:00,ub,26.5
454,2007-11-05,07:05:00,ub,27
455,2007-11-05,08:05:00,ub,28
456,2007-11-05,09:05:00,ub,29
457,2007-11-05,10:05:00,ub,30
458,2007-11-05,11:05:00,ub,30.5
459,2007-11-05,12:05:00,ub,31
460,2007-11-05,13:05:00,ub,31.5
461,2007-11-05,14:05:00,ub,32
462,2007-11-05,15:05:00,ub,32
463,2007-11-05,16:05:00,ub,32
464,2007-11-05,17:05:00,ub,31.5
465,2007-11-05,18:05:00,ub,31
466,2007-11-05,19:05:00,ub,30.5
467,2007-11-05,20:05:00,ub,30.5
468,2007-11-05,21:05:00,ub,30
469,2007-11-05,22:05:00,ub,29.5
470,2007-11-05,23:05:00,ub,29
471,2007-11-06,00:05:00,ub,29
472,2007-11-06,01:05:00,ub,28.5
473,2007-11-06,02:05:00,ub,28
474,2007-11-06,03:05:00,ub,28
475,2007-11-06,04:05:00,ub,27.5
476,2007-11-06,05:05:00,ub,27
477,2007-11-06,06:05:00,ub,26.5
478,2007-11-06,07:05:00,ub,27.5
479,2007-11-06,08:05:00,ub,28
480,2007-11-06,09:05:00,ub,29.5
481,2007-11-06,10:05:00,ub,30
482,2007-11-06,11:05:00,ub,31
483,2007-11-06,12:05:00,ub,31.5
484,2007-11-06,13:05:00,ub,31.5
485,2007-11-06,14:05:00,ub,32
486,2007-11-06,15:05:00,ub,32
487,2007-11-06,16:05:00,ub,32
488,2007-11-06,17:05:00,ub,31.5
489,2007-11-06,18:05:00,ub,31
490,2007-11-06,19:05:00,ub,30.5
491,2007-11-06,20:05:00,ub,30
492,2007-11-06,21:05:00,ub,30
493,2007-11-06,22:05:00,ub,29.5
494,2007-11-06,23:05:00,ub,29
495,2007-11-07,00:05:00,ub,29
496,2007-11-07,01:05:00,ub,28.5
497,2007-11-07,02:05:00,ub,28
498,2007-11-07,03:05:00,ub,28
499,2007-11-07,04:05:00,ub,27.5
500,2007-11-07,05:05:00,ub,27.5
501,2007-11-07,06:05:00,ub,27.5
502,2007-11-07,07:05:00,ub,28
503,2007-11-07,08:05:00,ub,28.5
504,2007-11-07,09:05:00,ub,29.5
505,2007-11-07,10:05:00,ub,30
506,2007-11-07,11:05:00,ub,30.5
507,2007-11-07,12:05:00,ub,31
508,2007-11-07,13:05:00,ub,31.5
509,2007-11-07,14:05:00,ub,32
510,2007-11-07,15:05:00,ub,32
511,2007-11-07,16:05:00,ub,32
512,2007-11-07,17:05:00,ub,31.5
513,2007-11-07,18:05:00,ub,30.5
514,2007-11-07,19:05:00,ub,30
515,2007-11-07,20:05:00,ub,30
516,2007-11-07,21:05:00,ub,29.5
517,2007-11-07,22:05:00,ub,29.5
518,2007-11-07,23:05:00,ub,29
519,2007-11-08,00:05:00,ub,28.5
520,2007-11-08,01:05:00,ub,28
521,2007-11-08,02:05:00,ub,27.5
522,2007-11-08,03:05:00,ub,27
523,2007-11-08,04:05:00,ub,27
524,2007-11-08,05:05:00,ub,26.5
525,2007-11-08,06:05:00,ub,26
526,2007-11-08,07:05:00,ub,26.5
527,2007-11-08,08:05:00,ub,27.5
528,2007-11-08,09:05:00,ub,29
529,2007-11-08,10:05:00,ub,29.5
530,2007-11-08,11:05:00,ub,30
531,2007-11-08,12:05:00,ub,30.5
532,2007-11-08,13:05:00,ub,31
533,2007-11-08,14:05:00,ub,31
534,2007-11-08,15:05:00,ub,31
535,2007-11-08,16:05:00,ub,31
536,2007-11-08,17:05:00,ub,31
537,2007-11-08,18:05:00,ub,30.5
538,2007-11-08,19:05:00,ub,29.5
539,2007-11-08,20:05:00,ub,29
540,2007-11-08,21:05:00,ub,28.5
541,2007-11-08,22:05:00,ub,28
542,2007-11-08,23:05:00,ub,28
543,2007-11-09,00:05:00,ub,27.5
544,2007-11-09,01:05:00,ub,27
545,2007-11-09,02:05:00,ub,26.5
546,2007-11-09,03:05:00,ub,26.5
547,2007-11-09,04:05:00,ub,26
548,2007-11-09,05:05:00,ub,26
549,2007-11-09,06:05:00,ub,25.5
550,2007-11-09,07:05:00,ub,26
551,2007-11-09,08:05:00,ub,27
552,2007-11-09,09:05:00,ub,28
553,2007-11-09,10:05:00,ub,29
554,2007-11-09,11:05:00,ub,29.5
555,2007-11-09,12:05:00,ub,30
556,2007-11-09,13:05:00,ub,30.5
557,2007-11-09,14:05:00,ub,30.5
558,2007-11-09,15:05:00,ub,30.5
559,2007-11-09,16:05:00,ub,30.5
560,2007-11-09,17:05:00,ub,30
561,2007-11-09,18:05:00,ub,29.5
562,2007-11-09,19:05:00,ub,29.5
563,2007-11-09,20:05:00,ub,29
564,2007-11-09,21:05:00,ub,28.5
565,2007-11-09,22:05:00,ub,28.5
566,2007-11-09,23:05:00,ub,28
567,2007-11-10,00:05:00,ub,27.5
568,2007-11-10,01:05:00,ub,27.5
569,2007-11-10,02:05:00,ub,27.5
570,2007-11-10,03:05:00,ub,27
571,2007-11-10,04:05:00,ub,27
572,2007-11-10,05:05:00,ub,26.5
573,2007-11-10,06:05:00,ub,26.5
574,2007-11-10,07:05:00,ub,26.5
575,2007-11-10,08:05:00,ub,27
576,2007-11-10,09:05:00,ub,28.5
577,2007-11-10,10:05:00,ub,29
578,2007-11-10,11:05:00,ub,29.5
579,2007-11-10,12:05:00,ub,30.5
580,2007-11-10,13:05:00,ub,30.5
581,2007-11-10,14:05:00,ub,31
582,2007-11-10,15:05:00,ub,30.5
583,2007-11-10,16:05:00,ub,30.5
584,2007-11-10,17:05:00,ub,30
585,2007-11-10,18:05:00,ub,29.5
586,2007-11-10,19:05:00,ub,29
587,2007-11-10,20:05:00,ub,28.5
588,2007-11-10,21:05:00,ub,28.5
589,2007-11-10,22:05:00,ub,28
590,2007-11-10,23:05:00,ub,27.5
591,2007-11-11,00:05:00,ub,27
592,2007-11-11,01:05:00,ub,26.5
593,2007-11-11,02:05:00,ub,26
594,2007-11-11,03:05:00,ub,26
595,2007-11-11,04:05:00,ub,25.5
596,2007-11-11,05:05:00,ub,25.5
597,2007-11-11,06:05:00,ub,25.5
598,2007-11-11,07:05:00,ub,26
599,2007-11-11,08:05:00,ub,26.5
600,2007-11-11,09:05:00,ub,28
601,2007-11-11,10:05:00,ub,28.5
602,2007-11-11,11:05:00,ub,29
603,2007-11-11,12:05:00,ub,29.5
604,2007-11-11,13:05:00,ub,29.5
605,2007-11-11,14:05:00,ub,30
606,2007-11-11,15:05:00,ub,30
607,2007-11-11,16:05:00,ub,30
608,2007-11-11,17:05:00,ub,29.5
609,2007-11-11,18:05:00,ub,29.5
610,2007-11-11,19:05:00,ub,29
611,2007-11-11,20:05:00,ub,28.5
612,2007-11-11,21:05:00,ub,28
613,2007-11-11,22:05:00,ub,28
614,2007-11-11,23:05:00,ub,27.5
615,2007-11-12,00:05:00,ub,27
616,2007-11-12,01:05:00,ub,27
617,2007-11-12,02:05:00,ub,26.5
618,2007-11-12,03:05:00,ub,26.5
619,2007-11-12,04:05:00,ub,26
620,2007-11-12,05:05:00,ub,25.5
621,2007-11-12,06:05:00,ub,25
622,2007-11-12,07:05:00,ub,25.5
623,2007-11-12,08:05:00,ub,26.5
624,2007-11-12,09:05:00,ub,27.5
625,2007-11-12,10:05:00,ub,28
626,2007-11-12,11:05:00,ub,29
627,2007-11-12,12:05:00,ub,29.5
628,2007-11-12,13:05:00,ub,30
629,2007-11-12,14:05:00,ub,30
630,2007-11-12,15:05:00,ub,29.5
631,2007-11-12,16:05:00,ub,29
632,2007-11-12,17:05:00,ub,29
633,2007-11-12,18:05:00,ub,28.5
634,2007-11-12,19:05:00,ub,28
635,2007-11-12,20:05:00,ub,27.5
636,2007-11-12,21:05:00,ub,27
637,2007-11-12,22:05:00,ub,27
638,2007-11-12,23:05:00,ub,26.5
639,2007-11-13,00:05:00,ub,26
640,2007-11-13,01:05:00,ub,25.5
641,2007-11-13,02:05:00,ub,25
642,2007-11-13,03:05:00,ub,24.5
643,2007-11-13,04:05:00,ub,24.5
644,2007-11-13,05:05:00,ub,24
645,2007-11-13,06:05:00,ub,24
646,2007-11-13,07:05:00,ub,24.5
647,2007-11-13,08:05:00,ub,25
648,2007-11-13,09:05:00,ub,26.5
649,2007-11-13,10:05:00,ub,27
650,2007-11-13,11:05:00,ub,27.5
651,2007-11-13,12:05:00,ub,28.5
652,2007-11-13,13:05:00,ub,28.5
653,2007-11-13,14:05:00,ub,29
654,2007-11-13,15:05:00,ub,29
655,2007-11-13,16:05:00,ub,28.5
656,2007-11-13,17:05:00,ub,28
657,2007-11-13,18:05:00,ub,28
658,2007-11-13,19:05:00,ub,27.5
659,2007-11-13,20:05:00,ub,26.5
660,2007-11-13,21:05:00,ub,26.5
661,2007-11-13,22:05:00,ub,26
662,2007-11-13,23:05:00,ub,25.5
663,2007-11-14,00:05:00,ub,25.5
664,2007-11-14,01:05:00,ub,25
665,2007-11-14,02:05:00,ub,25
666,2007-11-14,03:05:00,ub,24.5
667,2007-11-14,04:05:00,ub,24
668,2007-11-14,05:05:00,ub,24
669,2007-11-14,06:05:00,ub,23.5
670,2007-11-14,07:05:00,ub,24
671,2007-11-14,08:05:00,ub,25
672,2007-11-14,09:05:00,ub,26.5
