PT_ID,PT_DATE,PT_TIME,PT_TAG,PT_PLATE,PT_ENCLOSURE,PT_TA,PT_TB,PT_IB_ID,PT_CT_ID
1,2007-11-08,17:19:42,205,bb,3,0,0,NULL,NULL
2,2007-11-08,17:19:52,205,bb,3,0,0,NULL,NULL
3,2007-11-08,17:21:56,205,bb,3,0,0,NULL,NULL
4,2007-11-08,17:22:06,205,bb,3,0,0,NULL,NULL
5,2007-11-08,17:22:08,205,bb,3,0,0,NULL,NULL
6,2007-11-08,17:22:18,205,bb,3,0,0,NULL,NULL
7,2007-11-08,17:22:28,205,bb,3,0,0,NULL,NULL
8,2007-11-08,17:22:39,205,bb,3,0,0,NULL,NULL
9,2007-11-08,17:22:49,205,bb,3,0,0,NULL,NULL
10,2007-11-08,17:26:22,205,bb,3,0,0,NULL,NULL
11,2007-11-08,17:26:32,205,bb,3,0,0,NULL,NULL
12,2007-11-08,17:26:42,205,bb,3,0,0,NULL,NULL
13,2007-11-08,17:26:52,205,bb,3,0,0,NULL,NULL
14,2007-11-08,17:34:17,205,bb,3,0,0,NULL,NULL
15,2007-11-08,17:34:24,205,bb,3,0,0,NULL,NULL
16,2007-11-08,17:34:33,205,bb,3,0,0,NULL,NULL
17,2007-11-08,17:34:52,205,bb,3,0,0,NULL,NULL
18,2007-11-08,17:35:10,205,bb,3,0,0,NULL,NULL
19,2007-11-08,17:36:01,205,bb,3,0,0,NULL,NULL
20,2007-11-08,17:36:07,205,bb,3,0,0,NULL,NULL
21,2007-11-08,17:45:51,205,bb,3,0,0,NULL,NULL
22,2007-11-08,18:34:52,205,bb,3,0,0,NULL,NULL
23,2007-11-08,18:35:52,205,bb,3,0,0,NULL,NULL
24,2007-11-08,18:36:02,205,bb,3,0,0,NULL,NULL
25,2007-11-08,18:36:12,205,bb,3,0,0,NULL,NULL
26,2007-11-08,18:36:22,205,bb,3,0,0,NULL,NULL
27,2007-11-08,18:36:32,205,bb,3,0,0,NULL,NULL
28,2007-11-08,18:36:42,205,bb,3,0,0,NULL,NULL
29,2007-11-08,18:36:52,205,bb,3,0,0,NULL,NULL
30,2007-11-08,19:27:13,205,bb,3,0,0,NULL,NULL
31,2007-11-08,19:29:13,205,bb,3,0,0,NULL,NULL
32,2007-11-08,19:29:23,205,bb,3,0,0,NULL,NULL
33,2007-11-08,19:31:23,205,bb,3,0,0,NULL,NULL
34,2007-11-08,19:43:52,205,bb,3,0,0,NULL,NULL
35,2007-11-08,19:44:02,205,bb,3,0,0,NULL,NULL
36,2007-11-08,20:48:17,205,bb,3,0,0,NULL,NULL
37,2007-11-08,20:51:12,205,bb,3,0,0,NULL,NULL
38,2007-11-08,21:12:29,205,bb,3,0,0,NULL,NULL
